,Location,Count,Latitude,Longitude
Libertad Leuven,Waaiberg,9562,51.2346148,4.9753842
Huis der Rechten,Huis van het Kind Leuven,5514,50.8787793,4.703607
't Archief live- en danscafé leuven (tarchief.be),Politika Kaffee,4434,50.8771911,4.7048394
Waaiberg,Huis der Rechten,3951,50.877233,4.7047442
Pangaea KU Leuven,De Sportzak,3219,50.870001349999995,4.695548390132407
't Gewelf,Café Belge Leuven,2112,50.8779163,4.6989758
Politika Kaffee,Gnorgl,1965,50.86885865,4.708046368565294
Rock Café Leuven,30CC/Schouwburg,1896,52.0160816,4.7118109
Musicafe Leuven,Libertad Leuven,1518,50.8780654,4.7025915
Gnorgl,Bar Del Sol,1512,41.2875124,-1.6169709
Cafe Manger,De Spuye,1437,50.8695264,4.693275303065523
Velodroom Leuven,Cafe Manger,1320,50.8775901,4.698791
Café Revue Leuven,"Oude Markt, 3000 Leuven, België",1242,50.87807625,4.69942473624295
De Sportzak,"Diestsestraat 10, 3000 Leuven, België",1029,50.88196355,4.713784366127477
Hollands College Leuven,'t Gewelf,987,51.864011,5.7630445
Pieter De Somer Aula,Hops 'N More,984,50.8787752,4.6994289
Blauwe Kater,Sint-Jacobskerk (Leuven),837,50.880530949999994,4.691122839577064
Huis van het Kind Leuven,Karément,717,50.8782694,4.69931
Oude Markt (Leuven),Rock Café Leuven,672,50.8777606,4.69889
30CC/Schouwburg,Café Revue Leuven,624,50.8786627,4.6996422
Sint-Jacobskerk (Leuven),Sint-Michielskerk (Leuven),576,50.87627195,4.70101516463468
Cultureel Centrum Oratoriënhof,Musicafe Leuven,524,50.8782779,4.7021318
Sint-Donatus Park,De Komma Leuven,504,50.8719442,4.707043850514594
Campus Redingenhof Leuven,Pieter De Somer Aula,480,50.87637665,4.703178774801675
Amerikaans College,Blauwe Kater,360,50.8814663,4.6992644
BAC ART LAB KU Leuven,Velodroom Leuven,357,50.8801858,4.6956621
Heilige-Drievuldigheidscollege,Leuven Central,336,50.880121,4.7007961
"Kiekenstraat 6, 3000 Leuven, België","Kiekenstraat 6, 3000 Leuven, België",336,50.8786726,4.7004657
Café René Leuven,Oude Markt (Leuven),336,50.87807625,4.69942473624295
Cantuszalen Prosit,Hollands College Leuven,312,50.8762432,4.69616421330944
Café Jeeskesboom,Minnepoort,312,51.3231004,3.6157353
Leuven Central,Paul Van Ostaijenpark,264,50.867329,4.704425664716314
"Oude Markt, 3000 Leuven, België",Downtown Jack,240,50.87296905,4.701695752598591
De Kapbar,Aula Vesalius,192,50.875260350000005,4.708461687535939
King Power at Den Dreef Stadion,Bruul Park Leuven,187,50.88345725,4.695247986325599
Wagehuys Leuven,Wereldcafé.coop,168,50.8783881,4.6978874
Café den delper,"Minderbroedersstraat 13, 3000 Leuven, België",168,50.87703945,4.695528034433963
Universiteitsbibliotheek (KU Leuven),"Brusselsestraat 61A, 3000 Leuven, België",168,50.8800708,4.6971436
Cyaankali,Amerikaans College,168,50.873217,4.698988297807579
Windekind Leuven,KU Leuven,168,50.80571285,3.2915374489139757
Sint-Maartensdal,Tuin De Walque,168,50.8775396,4.711959306663594
Bardot Leuven,Studio Zuid,168,-33.3982422,151.33299029761844
Visit Leuven,Appeltuin,168,51.890459,4.5530466
De Plantrekkers,M - Museum Leuven,168,51.2114872,4.3898601502906125
Patria Leuven,Patria Leuven,168,50.92593375,4.7059473340741595
Studio Zuid,Visit Leuven,168,50.8245847,4.5149141
Tuin De Walque,Girafant,168,50.86929395,4.710565843727924
TTC Meerdaal Leuven,Sint-Maartensdal,168,50.8826124,4.7057121
Justus Lipsiuszaal,Cultureel Centrum Oratoriënhof,168,50.8833004,4.6978308
Wereldcafé.coop,Cyaankali,168,50.8818528,4.7116664
Bruul Park Leuven,"Muntstraat 5, 3000 Leuven, België",168,50.87835455,4.7021751745709865
"The Social Club Leuven, Zeelstraat 2 - 3000 Leuven, België",Café den delper,168,50.8785258,4.6990197
Bia Mara Leuven,Mathieu de Layensplein,144,50.8798879,4.7003985
Ekobar & Kursusdienst Ekonomika,Café Jeeskesboom,144,50.8812523,4.708581
De Komma Leuven,Windekind Leuven,144,50.7812743,4.898225078828595
"Diestsestraat 10, 3000 Leuven, België",Dijleterrassen Leuven,144,50.88136495,4.696973833054393
De Spuye,De Kapbar,144,50.8765128,4.7006021
Belgaleiro,King Power at Den Dreef Stadion,144,50.8684105,4.694299362273915
Vrij Technisch Instituut Leuven,Noir Coffeebar,96,50.8766554,4.7006268
KVHV-Leuven,Plaza Leuven,96,50.8058808,4.940458887068971
Plaza Leuven,Belgaleiro,96,50.8796707,4.68902740647448
