location,date,hour,long,lat,hourly_laeq_avg
Calveriekapel,2022-01-01,0,4.6999168,50.8745267,42.12939797934188
Calveriekapel,2022-01-01,1,4.6999168,50.8745267,39.63735048603331
Calveriekapel,2022-01-01,2,4.6999168,50.8745267,38.5898436617746
Calveriekapel,2022-01-01,3,4.6999168,50.8745267,38.07243478123398
Calveriekapel,2022-01-01,4,4.6999168,50.8745267,38.44460609728832
Calveriekapel,2022-01-01,5,4.6999168,50.8745267,40.276276373261545
Calveriekapel,2022-01-01,6,4.6999168,50.8745267,45.76602834829192
Calveriekapel,2022-01-01,7,4.6999168,50.8745267,50.185002122969635
Calveriekapel,2022-01-01,8,4.6999168,50.8745267,51.92796580501632
Calveriekapel,2022-01-01,9,4.6999168,50.8745267,52.292215098251326
Calveriekapel,2022-01-01,10,4.6999168,50.8745267,53.01187047760142
Calveriekapel,2022-01-01,11,4.6999168,50.8745267,53.77626363350958
Calveriekapel,2022-01-01,12,4.6999168,50.8745267,54.08698072640713
Calveriekapel,2022-01-01,13,4.6999168,50.8745267,53.94221159196567
Calveriekapel,2022-01-01,14,4.6999168,50.8745267,53.8068873937677
Calveriekapel,2022-01-01,15,4.6999168,50.8745267,54.09497396422911
Calveriekapel,2022-01-01,16,4.6999168,50.8745267,53.21953522247247
Calveriekapel,2022-01-01,17,4.6999168,50.8745267,54.08761752641754
Calveriekapel,2022-01-01,18,4.6999168,50.8745267,54.908637124289015
Calveriekapel,2022-01-01,19,4.6999168,50.8745267,54.27419140213715
Calveriekapel,2022-01-01,20,4.6999168,50.8745267,53.16591753251699
Calveriekapel,2022-01-01,21,4.6999168,50.8745267,51.11549007704043
Calveriekapel,2022-01-01,22,4.6999168,50.8745267,49.23110149784709
Calveriekapel,2022-01-01,23,4.6999168,50.8745267,46.20002912799738
Calveriekapel,2022-01-13,0,4.6999168,50.8745267,42.12939797934188
Calveriekapel,2022-01-13,1,4.6999168,50.8745267,39.63735048603331
Calveriekapel,2022-01-13,2,4.6999168,50.8745267,38.5898436617746
Calveriekapel,2022-01-13,3,4.6999168,50.8745267,38.07243478123398
Calveriekapel,2022-01-13,4,4.6999168,50.8745267,38.44460609728832
Calveriekapel,2022-01-13,5,4.6999168,50.8745267,40.276276373261545
Calveriekapel,2022-01-13,6,4.6999168,50.8745267,45.76602834829192
Calveriekapel,2022-01-13,7,4.6999168,50.8745267,50.185002122969635
Calveriekapel,2022-01-13,8,4.6999168,50.8745267,51.92796580501632
