location,date,hour,long,lat,hourly_lamax_avg
Calveriekapel,2022-01-01,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-01,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-01,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-01,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-01,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-01,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-01,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-01,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-01,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-01,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-01,10,4.6999168,50.8745267,54.56978224735544
Calveriekapel,2022-01-01,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-01,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-01,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-01,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-01,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-01,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-01,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-01,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-01,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-01,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-01,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-01,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-01,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-13,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-13,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-13,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-13,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-13,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-13,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-13,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-13,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-13,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-13,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-13,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-13,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-13,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-13,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-13,14,4.6999168,50.8745267,55.48593206511995
